DESCRIPTION,CATEGORY
"Услуга прием\передача  сигнала с/на КА ""KazSat-3"" (Pre-Hubbing), ширина полосы 4 МГц (D10)  с 01.09.2022 г.  по 30.09.2022 г.",Прочие услуги
DET 325 синий 439 - крышка полимерная,Прочие товары
ПЕЧЕНЬЕ OREO 95ГР КАКАО ВАНИЛЬ,Продукты питания и напитки
"Аккумулятор стартерный, напряжение 12 В, емкость 75 А/ч, свинцово-кислотный ",Автозапчасти и сервис авто
КРАСКА PALETTE №RFE3,Строительные материалы и отделка
Крышка головки цилиндра в сб. НПОУрал УПАКОВКА 4 ШТ.,Автозапчасти и сервис авто
"Шток хромированный диаметр 76,2 мм.",Прочие товары
CRJU1213119 (Хранение груженного контейнера на СВХ 20ф),Транспортно-логистические услуги
1310111018 Подвеска (Ag 925),Ювелирные изделия и аксессуары
UNI 90007 Pantone 661,Прочие товары
8V2AA02500M3B8 Гидравлический рукав HH-ABT5K-4S-16 DN025 AG,Прочие товары
Шпилька М10х1000,Прочие товары
GY2489 Кроссовки дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
83123 Серьги (Ag 925),Ювелирные изделия и аксессуары
Услуги по пересылке регистрируемых почтовых отправлений (Петропавловск),Прочие услуги
"ОЧИСТИТЕЛЬ ДЛЯ КОЖИ ""STOMAPLAST""",Прочие товары
ПАКЕТ ЦВЕТОК ПОДАРОЧНЫЙ БОЛЬШОЙ,Прочие товары
"Масло Gazpromneft Super 5W40  1л.(0,874кг)",Продукты питания и напитки
"Транспортные услуги Toyota Camry, гос.номер 099III12 за июль месяц 2024 г. (KазГПЗ)",Автозапчасти и сервис авто
Диск шарнира КамАЗ 4310-2304067,Прочие товары
Хранение (пшен. мягк.. 3 кл 24г.),Продукты питания и напитки
сахар 25кг,Продукты питания и напитки
23814262 Кольцо (Ag 925),Ювелирные изделия и аксессуары
"Катанка д.6,5 в бухтах ст.3",Прочие товары
ВЛАЖНЫЕ САЛФЕТКИ SMART MEDICAL 20ШТ ДЕЗИНФИЦИРУЮЩ,Бытовая химия и хозтовары
988140704 Цепь (Ag925),Прочие товары
Вагонмен тасымалдану бойынша 2022 ж тамыз айы,Транспортно-логистические услуги
Брелок Ауди LW-B/032 ,Детские товары / гигиена
FJ0998 Кепка взр.,Прочие товары
вкладыш кабины чугунный 2910303004,Прочие товары
Лампа Н4 24 B,Прочие товары
"Урбеч  Семена  тыквы  NutVill, 180гр",Продукты питания и напитки
Штрафные санкции за незаезд Цой Юлии с 22.11.2022г. по  24.11.2022г.,Прочие товары
Набор посуды из пластика 22 предметов,Бытовая химия и хозтовары
"Размещение наружной рекламы   Караганда,  Октябрь 2022",Рекламные и маркетинговые услуги
Муфта ппр 40,Автозапчасти и сервис авто
HP9635 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
КОНДИЦИОНЕР Д/БЕЛЬЯ QUALITA 1Л Д/ПАК FLOWER FANTAS,Оборудование и инструмент
Кольцо стопорное В-55 ГОСТ 13942-68,Ювелирные изделия и аксессуары
"Бумага для плоттера А0+, 914мм*45,7м, 90г/м2",Офисная техника и расходники
ПОЛУШАЙБА КОЛЕНЧАТОГО ВАЛА НИЖНЯЯ,Прочие товары
"МОЛОКО 3,5% 1Л",Продукты питания и напитки
Замена привода,Автозапчасти и сервис авто
Теплоэнергия Агадырь,Прочие товары
Мягкий модуль,Прочие товары
"МАСЛО АЛТЫН МАЙ РАФИН,5Л",Продукты питания и напитки
HS9759 Баф взр.,Прочие товары
СЕМГА ПОДКОПЧЕННАЯ САНТА БРЕМОР 200ГР,Продукты питания и напитки
СЫР БЕЛОВЕЖСКИЕ СЫРЫ 250ГР БЕЛАЯ ФЕТА,Продукты питания и напитки
Манжета 30-40,Прочие товары
СРЕДСТВО ДЛЯ КУПАНИЯ СОЛНЦЕ И ЛУНА 200МЛ РОМАШКА И,Прочие товары
"Булочка  слоеная с курагой и орехами (0,07)/130  от Беккера",Продукты питания и напитки
ШОКОЛАД ALPEN GOLD 150ГР МОЛОЧНЫЙ ШАРЛОТКА,Продукты питания и напитки
МАЙОНЕЗ MR RICCO 400ГР ПРОВАНСАЛЬ 67%,Продукты питания и напитки
СРЕДСТВО Д/МЫТЬЯ ПОСУДЫ LION 965МЛ ЗЕЛЕНЫЙ ЧАЙ,Продукты питания и напитки
93-120-01370-1 Серьги (Ag 925),Ювелирные изделия и аксессуары
"Jim Beam White 40% 0,5",Прочие товары
КОНДИЦИОНЕР TRESEMME 400мл ДЛЯ РОСТА ВОЛОС,Оборудование и инструмент
"Декта® Форте, 10 мл",Прочие товары
ХЛЕБ ДАСТАРХАН 500ГР АРБАТСКИЙ,Продукты питания и напитки
"Гидравлический шланг HH-ABT6K-4S-16 DN025AG - 3,00 м",Прочие товары
Аккумулятор для ноутбука HP HP4320-6,Прочие товары
Целлофан пищевой 20 м в картоне JIMMI,Прочие товары
40-3103017 Гайка крепления диска колеса,Строительные материалы и отделка
"РВД 16x28 S32   L 1,6 ГОСТ 6286",Прочие товары
Шестерни КОМ ведом.+пром (к-т) 5511-4202032/036,Автозапчасти и сервис авто
Опора амортизатора,Автозапчасти и сервис авто
"Эмаль ""Super"" универсальная ""Радуга-117"" глянцевая акриловая H-148 9 л",Строительные материалы и отделка
